mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_n_neighbors,param_p,param_weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.004509925842285156,0.000522583591689862,0.012924623489379884,0.0006321378860760036,auto,7,2,distance,"{'algorithm': 'auto', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.6742616033755274,0.7018581081081081,0.6900337837837838,0.700168918918919,0.6908783783783784,0.6914401585129434,0.00981958426207516,14
0.004889631271362304,0.0003695667816216139,0.05967988967895508,0.0017095666092073326,auto,9,1,uniform,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6734177215189874,0.6908783783783784,0.6697635135135135,0.6782094594594594,0.6866554054054054,0.6797848956551489,0.007921114427585838,41
0.0046329498291015625,0.00039405991239085985,0.013461494445800781,0.000942433493132667,auto,9,1,distance,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 1, 'weights': 'distance'}",0.6919831223628692,0.7077702702702703,0.6908783783783784,0.6993243243243243,0.7018581081081081,0.6983628406887901,0.006298556317736931,2
0.004502391815185547,0.00038805278051509185,0.06007814407348633,0.0012725101937244654,auto,9,2,uniform,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'uniform'}",0.6624472573839663,0.6672297297297297,0.6537162162162162,0.660472972972973,0.6596283783783784,0.6606989109362528,0.004374092429028227,62
0.004551839828491211,0.00043048026757575177,0.013533735275268554,0.0004055428854728699,auto,9,2,distance,"{'algorithm': 'auto', 'n_neighbors': 9, 'p': 2, 'weights': 'distance'}",0.6827004219409283,0.6942567567567568,0.6815878378378378,0.6925675675675675,0.6858108108108109,0.6873846789827802,0.005140242782796866,25
0.015995121002197264,0.021756259806691512,0.10325250625610352,0.014439075049711134,ball_tree,3,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'uniform'}",0.6734177215189874,0.6841216216216216,0.6756756756756757,0.6773648648648649,0.6765202702702703,0.677420030790284,0.003599588482377897,48
0.0041770458221435545,0.0004413383930884799,0.0330958366394043,0.002661527918558835,ball_tree,3,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 1, 'weights': 'distance'}",0.6759493670886076,0.6951013513513513,0.6807432432432432,0.6942567567567568,0.6841216216216216,0.6860344680123162,0.007525685446432893,31
0.00371403694152832,0.0006048134432264814,0.0772937297821045,0.0017218713091754986,ball_tree,3,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'uniform'}",0.659915611814346,0.6782094594594594,0.6706081081081081,0.6731418918918919,0.6630067567567568,0.6689763656061125,0.0066782887632142384,57
0.0038605213165283205,0.00044389496628419406,0.03261265754699707,0.0012441505943603082,ball_tree,3,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 3, 'p': 2, 'weights': 'distance'}",0.6658227848101266,0.6883445945945946,0.6790540540540541,0.6900337837837838,0.6773648648648649,0.6801240164214848,0.008707058711837462,39
0.0038398265838623046,0.00026011607277244444,0.08045406341552734,0.0019019985588450952,ball_tree,5,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'uniform'}",0.6886075949367089,0.6984797297297297,0.6866554054054054,0.6858108108108109,0.6815878378378378,0.6882282757440985,0.005615152095220865,20
0.003957509994506836,0.00031017240042874376,0.03404955863952637,0.0007268673817519633,ball_tree,5,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 1, 'weights': 'distance'}",0.6886075949367089,0.714527027027027,0.6967905405405406,0.7027027027027027,0.6883445945945946,0.6981944919603148,0.009777277924337595,6
0.003937578201293946,0.0005604257728044931,0.08004164695739746,0.002455633592762924,ball_tree,5,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'uniform'}",0.6759493670886076,0.6891891891891891,0.6596283783783784,0.6714527027027027,0.6621621621621622,0.671676359904208,0.010589443989446194,56
0.0036632061004638673,0.0006477077936467123,0.03585338592529297,0.0019087236871889615,ball_tree,5,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 5, 'p': 2, 'weights': 'distance'}",0.6734177215189874,0.7069256756756757,0.6798986486486487,0.700168918918919,0.674831081081081,0.6870484091686624,0.013808919775229078,28
0.003705739974975586,0.00034569510077889866,0.0817492961883545,0.0007916928443364085,ball_tree,7,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'uniform'}",0.6827004219409283,0.6934121621621622,0.6875,0.6663851351351351,0.6959459459459459,0.6851887330368343,0.010473312344096935,34
0.0038583755493164064,0.00043598114489757706,0.035359859466552734,0.000550526682263051,ball_tree,7,1,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 1, 'weights': 'distance'}",0.6928270042194092,0.7128378378378378,0.691722972972973,0.6959459459459459,0.700168918918919,0.698700535979017,0.007652345776170113,1
0.003499412536621094,0.0004615096364195697,0.08485321998596192,0.0023944672835593344,ball_tree,7,2,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'uniform'}",0.6632911392405063,0.6765202702702703,0.6714527027027027,0.6722972972972973,0.6756756756756757,0.6718474170372903,0.004691677800730888,55
0.004109764099121093,0.0003910462603442851,0.03735275268554687,0.0026079159024282777,ball_tree,7,2,distance,"{'algorithm': 'ball_tree', 'n_neighbors': 7, 'p': 2, 'weights': 'distance'}",0.6734177215189874,0.7027027027027027,0.6883445945945946,0.7018581081081081,0.6900337837837838,0.6912713821416353,0.010692097915083186,16
0.0035835742950439454,0.00022248910107904458,0.08423800468444824,0.001220754927787717,ball_tree,9,1,uniform,"{'algorithm': 'ball_tree', 'n_neighbors': 9, 'p': 1, 'weights': 'uniform'}",0.6742616033755274,0.6908783783783784,0.668918918918919,0.6773648648648649,0.6858108108108109,0.6794469152697001,0.007915031468710988,43
