mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_splitter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.011708259582519531,0.00045129917735918767,0.007920598983764649,0.012553575760955102,gini,,1,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'best'}",0.6886075949367089,0.6883445945945946,0.6765202702702703,0.6714527027027027,0.6967905405405406,0.6843431406089634,0.009126835810075083,5
0.006764698028564453,0.00048318853917755564,0.0011243820190429688,0.0004947304436966364,gini,,1,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'splitter': 'random'}",0.6708860759493671,0.6680743243243243,0.6672297297297297,0.6596283783783784,0.6579391891891891,0.6647515395141977,0.005049153590205025,110
0.011171770095825196,0.00029942413657597157,0.001139688491821289,0.00022338487001086573,gini,,1,5,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'best'}",0.6852320675105485,0.6866554054054054,0.6756756756756757,0.6680743243243243,0.6951013513513513,0.6821477648534612,0.009354964628866636,9
0.0047759532928466795,0.0004253781251254037,0.0015625,0.00044989864093787516,gini,,1,5,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'splitter': 'random'}",0.6827004219409283,0.6807432432432432,0.652027027027027,0.6739864864864865,0.6967905405405406,0.6772495438476451,0.014632781398729118,20
0.010122585296630859,0.0003150425033547164,0.001024484634399414,5.2228581463218004e-05,gini,,1,10,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'best'}",0.6759493670886076,0.6765202702702703,0.6883445945945946,0.6706081081081081,0.6773648648648649,0.6777574409852891,0.005799217546187767,16
0.0042132377624511715,0.0004366439958898274,0.001218557357788086,0.0003932411314273254,gini,,1,10,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}",0.6548523206751055,0.6587837837837838,0.6452702702702703,0.6579391891891891,0.6672297297297297,0.6568150587296157,0.00708151679954688,144
0.01193695068359375,0.0026239924546128295,0.001548004150390625,0.0006731117065062285,gini,,2,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'best'}",0.6818565400843882,0.6756756756756757,0.6638513513513513,0.6554054054054054,0.6815878378378378,0.6716753620709317,0.010429215734135572,43
0.005870962142944336,0.0011158243669565733,0.0017132282257080079,0.00039518615304416903,gini,,2,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'splitter': 'random'}",0.6691983122362869,0.6554054054054054,0.6883445945945946,0.674831081081081,0.6478040540540541,0.6671166894742844,0.014315034113825295,80
0.010746526718139648,0.00045762204919965556,0.0011065006256103516,0.00047910529956878077,gini,,2,5,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'best'}",0.6742616033755274,0.6807432432432432,0.668918918918919,0.6511824324324325,0.6866554054054054,0.6723523206751054,0.012153876670457057,36
0.004529142379760742,0.0002680857466217024,0.0016888618469238282,0.0005500131441892399,gini,,2,5,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 5, 'splitter': 'random'}",0.6438818565400843,0.6554054054054054,0.6815878378378378,0.6545608108108109,0.6706081081081081,0.6612088037404493,0.01327968595148517,124
0.010269403457641602,0.0004683731378383657,0.0012020587921142579,0.00039915033958279767,gini,,2,10,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'best'}",0.6784810126582278,0.6790540540540541,0.6790540540540541,0.6680743243243243,0.6798986486486487,0.6769124187478618,0.0044421430072615455,23
0.0041923046112060545,0.0004577301529692411,0.0015223026275634766,0.0004499302114603519,gini,,2,10,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 10, 'splitter': 'random'}",0.640506329113924,0.6646959459459459,0.6621621621621622,0.6300675675675675,0.6663851351351351,0.652763427984947,0.014707893442150064,162
0.009978771209716797,0.0005618096328797439,0.0016527652740478515,0.000506387713089343,gini,,4,2,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'best'}",0.6751054852320675,0.6765202702702703,0.6655405405405406,0.6587837837837838,0.6722972972972973,0.6696494754247919,0.006617150840274821,63
0.004370546340942383,0.0004515894507468215,0.0012292861938476562,0.00038756228909259154,gini,,4,2,random,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 2, 'splitter': 'random'}",0.6514767932489451,0.6554054054054054,0.6266891891891891,0.6402027027027027,0.6528716216216216,0.6453291424335728,0.010676534265336048,181
0.008972930908203124,0.000551416176239517,0.0011987686157226562,0.0003982804164752592,gini,,4,5,best,"{'criterion': 'gini', 'max_depth': None, 'min_samples_leaf': 4, 'min_samples_split': 5, 'splitter': 'best'}",0.6784810126582278,0.6807432432432432,0.6663851351351351,0.6587837837837838,0.6731418918918919,0.6715070133424563,0.008058928512913937,46
