mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_loss,param_penalty,param_tol,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.07322874069213867,0.00315218476366132,0.001255941390991211,0.00040992554818272437,hinge,l2,0.001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.001}",0.47763713080168774,0.41807432432432434,0.4375,0.46030405405405406,0.46368243243243246,0.45143958832249975,0.021082363154179776,19
0.14818940162658692,0.007115070735837164,0.0010637760162353516,0.0003448590502811177,hinge,l2,0.0001,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 0.0001}",0.5164556962025316,0.47466216216216217,0.44341216216216217,0.49577702702702703,0.4408783783783784,0.47423708518645225,0.02935827004582553,10
0.18272037506103517,0.01922746869299467,0.0010629653930664062,6.367170702575325e-05,hinge,l2,1e-05,"{'loss': 'hinge', 'penalty': 'l2', 'tol': 1e-05}",0.4016877637130802,0.4341216216216216,0.4535472972972973,0.5101351351351351,0.4045608108108108,0.44081052571558904,0.03964215079144463,26
0.0901071548461914,0.0022055480752598286,0.0012396812438964845,0.0003851313570219106,hinge,l1,0.001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.001}",0.46919831223628694,0.4239864864864865,0.42567567567567566,0.43327702702702703,0.38344594594594594,0.42711668947428444,0.02730502248626701,33
0.13201842308044434,0.005144637636979964,0.0014059066772460938,0.00048463497463297996,hinge,l1,0.0001,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 0.0001}",0.42616033755274263,0.4265202702702703,0.39949324324324326,0.4670608108108108,0.4856418918918919,0.44097531075379176,0.031063645423771418,25
0.12421870231628418,0.005470251047737766,0.00105133056640625,0.0003363466340896534,hinge,l1,1e-05,"{'loss': 'hinge', 'penalty': 'l1', 'tol': 1e-05}",0.42278481012658226,0.40202702702702703,0.4822635135135135,0.44932432432432434,0.4408783783783784,0.43945561067396505,0.026872836795843433,27
0.09949941635131836,0.004707266499449767,0.0010719776153564453,7.946808482766854e-05,hinge,elasticnet,0.001,"{'loss': 'hinge', 'penalty': 'elasticnet', 'tol': 0.001}",0.4160337552742616,0.44594594594594594,0.47297297297297297,0.36908783783783783,0.47297297297297297,0.43540269700079826,0.039260738202380616,32
0.14795894622802735,0.010729488650078082,0.0014409065246582032,0.00036171798227639505,hinge,elasticnet,0.0001,"{'loss': 'hinge', 'penalty': 'elasticnet', 'tol': 0.0001}",0.4751054852320675,0.4839527027027027,0.3302364864864865,0.35388513513513514,0.4535472972972973,0.4193454213707378,0.06430941640238351,35
0.15101709365844726,0.009656328003962341,0.0013093948364257812,0.00035006573807683353,hinge,elasticnet,1e-05,"{'loss': 'hinge', 'penalty': 'elasticnet', 'tol': 1e-05}",0.4607594936708861,0.4222972972972973,0.4265202702702703,0.4907094594594595,0.38513513513513514,0.4370843311666097,0.035958705275965716,30
0.08896098136901856,0.010446573779002506,0.0011931419372558593,0.00023772379730573596,log_loss,l2,0.001,"{'loss': 'log_loss', 'penalty': 'l2', 'tol': 0.001}",0.4962025316455696,0.49577702702702703,0.5236486486486487,0.5287162162162162,0.49577702702702703,0.5080242901128977,0.014913224097878994,3
0.10886344909667969,0.01343926596978498,0.0014363765716552735,0.00039458940678997474,log_loss,l2,0.0001,"{'loss': 'log_loss', 'penalty': 'l2', 'tol': 0.0001}",0.4472573839662447,0.5118243243243243,0.504222972972973,0.49746621621621623,0.504222972972973,0.4929987740905462,0.02331780192195999,7
0.12441296577453613,0.011125179449155247,0.0011220455169677734,0.00023619431559214046,log_loss,l2,1e-05,"{'loss': 'log_loss', 'penalty': 'l2', 'tol': 1e-05}",0.49535864978902955,0.47888513513513514,0.518581081081081,0.49239864864864863,0.5025337837837838,0.49755145968753567,0.01301430043071796,6
0.09418716430664062,0.006913827056434181,0.001144552230834961,0.00022600323773712538,log_loss,l1,0.001,"{'loss': 'log_loss', 'penalty': 'l1', 'tol': 0.001}",0.5063291139240507,0.518581081081081,0.4822635135135135,0.4484797297297297,0.46452702702702703,0.4840360930550805,0.025839255583794754,9
0.11669602394104003,0.005208613371932206,0.0012020111083984376,0.00039963729340880707,log_loss,l1,0.0001,"{'loss': 'log_loss', 'penalty': 'l1', 'tol': 0.0001}",0.48945147679324896,0.5025337837837838,0.5295608108108109,0.5008445945945946,0.5152027027027027,0.5075186737370282,0.013716531438927839,4
0.1329805374145508,0.014572799072762916,0.001053190231323242,0.0001037859489208343,log_loss,l1,1e-05,"{'loss': 'log_loss', 'penalty': 'l1', 'tol': 1e-05}",0.5080168776371308,0.5025337837837838,0.5380067567567568,0.49746621621621623,0.5219594594594594,0.5135966187706694,0.014693547267552395,1
0.10513882637023926,0.008859791229972625,0.001519155502319336,0.000741447779130368,log_loss,elasticnet,0.001,"{'loss': 'log_loss', 'penalty': 'elasticnet', 'tol': 0.001}",0.47932489451476795,0.5228040540540541,0.4907094594594595,0.4847972972972973,0.46114864864864863,0.4877568707948455,0.02012400367364058,8
0.1389004707336426,0.010379807158049311,0.0014323711395263672,0.00047865930498192864,log_loss,elasticnet,0.0001,"{'loss': 'log_loss', 'penalty': 'elasticnet', 'tol': 0.0001}",0.4759493670886076,0.5143581081081081,0.504222972972973,0.5033783783783784,0.5228040540540541,0.5041425761204242,0.01579908446596385,5
